building,occupant_id,split,image_path
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_001.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_009.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_040.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_042.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_045.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_049.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_071.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_073.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_083.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_093.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_159.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_184.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_187.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_212.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_213.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_222.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_227.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_229.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_234.jpg
building_9,0000099,reference,dataset_splits/10_buildings/building_9/0000099/reference/0000099_238.jpg
building_9,0000099,test,dataset_splits/10_buildings/building_9/0000099/test/0000099_016.jpg
building_9,0000099,test,dataset_splits/10_buildings/building_9/0000099/test/0000099_021.jpg
building_9,0000099,test,dataset_splits/10_buildings/building_9/0000099/test/0000099_023.jpg
