building,occupant_id,split,image_path
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_001.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_050.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_127.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_157.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_163.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_194.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_208.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_230.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_236.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_244.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_250.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_272.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_282.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_284.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_317.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_334.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_352.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_379.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_402.jpg
building_2,0000159,reference,dataset_splits/10_buildings/building_2/0000159/reference/0000159_407.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_031.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_056.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_083.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_098.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_137.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_151.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_160.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_166.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_169.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_190.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_191.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_225.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_233.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_258.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_270.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_276.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_287.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_295.jpg
building_2,0000159,test,dataset_splits/10_buildings/building_2/0000159/test/0000159_363.jpg
